Source,Alloy Name,Expected,Average Prediction
ASM Dataset,ASTM A216 WCB Annealed,280.0,271.0
ASM Dataset,F33800 As Cast,410.0,310.99375
ASM Dataset,4140 HTQT595,1025.0,825.1394230769231
ASM Dataset,C17510 A,120.0,302.1755319148936
ASM Dataset,C93200,130.0,181.875
ASM Dataset,MetalTek C86300,415.0,432.00384615384615
ASM Dataset,4140 Normalized,635.0,488.97972972972974
ASM Dataset,HM21A T8,170.0,406.6909090909091
ASM Dataset,302 Annealed,275.0,322.51666666666665
ASM Dataset,C11000 A,69.0,148.76973684210526
ASM Dataset,1050 QT595,543.0,591.0087209302326
ASM Dataset,7075 Annealed,145.0,234.5506329113924
ASM Dataset,356.0 T51,110.0,122.94270833333333
ASM Dataset,C12500 M20,75.0,271.70098039215685
ASM Dataset,N30002,275.0,200.76136363636363
ASM Dataset,N07001 Aged,850.0,525.5833333333334
ASM Dataset,2024 T3,290.0,256.19565217391306
ASM Dataset,2024 Annealed,95.0,157.12666666666667
ASM Dataset,R56320 A,550.0,449.5337837837838
ASM Dataset,440C Temper 2,1865.0,1002.8197674418604
ASM Dataset,ASTM A572 Grade 65,510.0,521.5166666666667
ASM Dataset,ASTM 897M 1200-850-04 As Cast,1100.0,893.077380952381
ASM Dataset,238,210.0,174.96621621621622
ASM Dataset,ASTM A27 Annealed,205.0,227.96875
ASM Dataset,C95500,395.0,516.0540540540541
ASM Dataset,440B Tempered,1860.0,1469.189024390244
ASM Dataset,Class 30 As Cast,130.0,263.2019927536232
ASM Dataset,C86300,460.0,432.55737704918033
ASM Dataset,R50400 A,340.0,367.30263157894734
ASM Dataset,EZ33A T5,100.0,136.28658536585365
ASM Dataset,2014 T6,483.0,404.62179487179486
ASM Dataset,C18100 CWA,455.0,402.1480263157895
ASM Dataset,6151 T6,295.0,303.078125
ASM Dataset,1050 QT480,580.0,605.3805555555556
ASM Dataset,N07750 HTA,655.0,648.2260638297872
ASM Dataset,8740 Tempered,1060.0,845.0904255319149
ASM Dataset,410 Tempered at 453c,920.0,948.75
