Source,Alloy Name,Expected,Average Prediction
ASM Dataset,R56400 Forging A,860.0,508.375
ASM Dataset,F33800 As Cast,410.0,337.5
ASM Dataset,5657 Annealed,40.0,110.95833333333333
ASM Dataset,2024 T6,345.0,390.25
ASM Dataset,5457 Annealed,48.0,108.69444444444444
ASM Dataset,Elgiloy A,510.0,414.45
ASM Dataset,R56320 CWSR,724.0,708.375
ASM Dataset,8740 Annealed,380.0,425.125
ASM Dataset,C95400 as Cast,240.0,247.4375
ASM Dataset,4130 A Furnace Cooled,460.0,480.125
ASM Dataset,R56401 A,790.0,561.4166666666666
ASM Dataset,4140 A Furnace Cooled,415.0,345.25
ASM Dataset,C93700,115.0,167.5
ASM Dataset,440A Tempered,1650.0,1405.5
ASM Dataset,301 Full Hard,1080.0,1030.0833333333333
ASM Dataset,316L Annealed,190.0,286.7894736842105
ASM Dataset,1015 Cold Drawn,325.0,421.97222222222223
ASM Dataset,C97800,170.0,190.45
ASM Dataset,2014 T6,483.0,396.75
ASM Dataset,R56210 Hrolled,760.0,637.5
ASM Dataset,5456 Annealed,159.0,312.85714285714283
ASM Dataset,R56400 Plate A,828.0,785.3636363636364
ASM Dataset,Ti-10-2-3 Sample 3,1191.0,997.75
ASM Dataset,440A Annealed,448.0,504.9642857142857
ASM Dataset,17-7 PH CH900,1793.0,1256.375
ASM Dataset,N07713,690.0,457.9
ASM Dataset,C83600,95.0,211.16666666666666
ASM Dataset,ASTM A572 Grade 65,510.0,522.0
ASM Dataset,308,110.0,126.35
ASM Dataset,ASTM 897M 1200-850-04 As Cast,1100.0,821.9375
ASM Dataset,R30075 HIP,840.0,770.625
ASM Dataset,319.0 Solution aged,185.0,221.75
ASM Dataset,440C Temper 1,1900.0,1564.5714285714287
ASM Dataset,356,100.0,155.09722222222223
ASM Dataset,7050 T73652,455.0,437.6875
ASM Dataset,17-7 PH TH1050,1276.0,735.1071428571429
ASM Dataset,4130 Normalized,435.0,388.375
ASM Dataset,R54810 HT,1070.0,903.047619047619
ASM Dataset,1050 QT480,580.0,655.8333333333334
ASM Dataset,4140 HTQT595,1025.0,758.1944444444445
ASM Dataset,R50400 A,340.0,339.8333333333333
ASM Dataset,1060 Hot Rolled,400.0,373.1875
ASM Dataset,W1 Annealed,330.0,297.875
ASM Dataset,C26000 A,140.0,156.485
Magnesium Dataset,AM70,127.0,124.91449814126393
