Source,Image Name,Expected,Average Prediction
Magnesium Dataset,am60_2p5_1677,120.0,118.6875
Magnesium Dataset,am50_5p0_1795,109.0,113.6875
Magnesium Dataset,am40_2p5_1748,107.0,111.42857142857143
Magnesium Dataset,am60_2p5_1671,120.0,115.5
Magnesium Dataset,am70_5p0_f_e_1562,127.0,112.70833333333333
Magnesium Dataset,am70_5p0_f_e_1574,127.0,125.0
Magnesium Dataset,am70_5p0_f_1558,127.0,120.13888888888889
Magnesium Dataset,am40_2p5_1724,107.0,89.75
Magnesium Dataset,am70_5p0_f_e_1567,127.0,125.5
Magnesium Dataset,am60_5p0_edge_1631,120.0,113.75
Magnesium Dataset,am50_5p0_1780,109.0,108.5
Magnesium Dataset,am70_5p0_f_1559,127.0,116.3
Magnesium Dataset,am40_2p5_1722,107.0,108.8125
Magnesium Dataset,am40_2p5_1746,107.0,113.03571428571429
Magnesium Dataset,am40_2p5_1745,107.0,105.75
Magnesium Dataset,am70_5p0_f_1556,127.0,121.95
Magnesium Dataset,am50_2p5_1814,109.0,109.75
Magnesium Dataset,am50_2p5_1811,109.0,116.41666666666667
Magnesium Dataset,am60_5p0_edge_1626,120.0,110.0
Magnesium Dataset,am60_5p0_1654,120.0,119.6
Magnesium Dataset,am60_2p5_1670,120.0,113.25
Magnesium Dataset,am60_2p5_1662,120.0,112.16666666666667
Magnesium Dataset,am60_2p5_1689,120.0,115.375
Magnesium Dataset,am70_2p5_f_1612,127.0,124.5
Magnesium Dataset,am70_5p0_f_e_1577,127.0,126.85
Magnesium Dataset,am60_5p0_1650,120.0,120.58333333333333
Magnesium Dataset,am50_2p5_1828,109.0,107.65
Magnesium Dataset,am40_2p5_1735,107.0,106.75
Magnesium Dataset,am50_2p5_1803,109.0,103.125
Magnesium Dataset,am40_2p5_1760,107.0,119.25
Magnesium Dataset,am50_5p0_1796,109.0,103.75
Magnesium Dataset,am50_5p0_1769,109.0,104.25
Magnesium Dataset,am60_5p0_edge_1627,120.0,116.79166666666667
Magnesium Dataset,am40_5p0_1717,107.0,114.125
Magnesium Dataset,am60_2p5_1680,120.0,105.75
Magnesium Dataset,am60_2p5_1672,120.0,115.875
Magnesium Dataset,am40_2p5_1765,107.0,107.83333333333333
Magnesium Dataset,am60_5p0_1646,120.0,124.41666666666667
Magnesium Dataset,am50_2p5_1815,109.0,112.96428571428571
Magnesium Dataset,am50_2p5_1801,109.0,107.91666666666667
Magnesium Dataset,am40_2p5_1730,107.0,110.875
Magnesium Dataset,am40_5p0_1719,107.0,106.5625
Magnesium Dataset,am70_2p5_f_1598,127.0,138.125
Magnesium Dataset,am40_2p5_1729,107.0,106.25
Magnesium Dataset,am40_5p0_1692,107.0,102.16666666666667
Magnesium Dataset,am70_2p5_f_1620,127.0,127.0
Magnesium Dataset,am40_2p5_1756,107.0,102.0
Magnesium Dataset,am60_2p5_1669,120.0,120.6875
Magnesium Dataset,am60_5p0_1652,120.0,115.875
Magnesium Dataset,am50_5p0_1799,109.0,109.84375
Magnesium Dataset,am40_5p0_1721,107.0,109.5
Magnesium Dataset,am60_2p5_1682,120.0,114.9375
Magnesium Dataset,am50_2p5_1816,109.0,111.0
Magnesium Dataset,am40_2p5_1747,107.0,109.16666666666667
Magnesium Dataset,am40_5p0_1698,107.0,112.25
Magnesium Dataset,am50_5p0_1773,109.0,109.5
Magnesium Dataset,am40_5p0_1714,107.0,108.95
Magnesium Dataset,am70_2p5_f_1616,127.0,122.5
Magnesium Dataset,am60_5p0_1641,120.0,119.04166666666667
Magnesium Dataset,am70_5p0_f_e_1584,127.0,130.5
Magnesium Dataset,am40_2p5_1732,107.0,109.25
Magnesium Dataset,am50_5p0_1793,109.0,110.83333333333333
Magnesium Dataset,am70_5p0_f_e_1585,127.0,122.91666666666667
Magnesium Dataset,am60_5p0_1648,120.0,116.1875
Magnesium Dataset,am70_5p0_f_1553,127.0,134.5
Magnesium Dataset,am70_2p5_f_1603,127.0,130.5625
Magnesium Dataset,am70_2p5_f_1613,127.0,130.5
Magnesium Dataset,am50_5p0_1774,109.0,110.5
Magnesium Dataset,am70_2p5_f_1610,127.0,125.5
Magnesium Dataset,am70_5p0_f_e_1563,127.0,118.20833333333333
Magnesium Dataset,am50_5p0_1785,109.0,106.625
Magnesium Dataset,am50_5p0_1797,109.0,107.5625
Magnesium Dataset,am60_5p0_edge_1632,120.0,118.125
Magnesium Dataset,am70_5p0_f_e_1571,127.0,127.83333333333333
Magnesium Dataset,am70_5p0_f_e_1568,127.0,125.625
Magnesium Dataset,am70_5p0_f_e_1581,127.0,125.41666666666667
Magnesium Dataset,am70_2p5_f_1615,127.0,123.60714285714286
Magnesium Dataset,am40_2p5_1759,107.0,110.4
Magnesium Dataset,am70_5p0_f_e_1576,127.0,129.91666666666666
Magnesium Dataset,am70_2p5_f_1602,127.0,127.625
Magnesium Dataset,am40_5p0_1700,107.0,100.53571428571429
Magnesium Dataset,am70_5p0_f_e_1587,127.0,125.55
Magnesium Dataset,am70_5p0_f_e_1572,127.0,129.66666666666666
Magnesium Dataset,am60_2p5_1678,120.0,121.20833333333333
Magnesium Dataset,am70_2p5_f_1590,127.0,123.625
Magnesium Dataset,am70_2p5_f_1619,127.0,126.375
Magnesium Dataset,am40_2p5_1743,107.0,109.84375
Magnesium Dataset,am60_5p0_1637,120.0,113.5625
Magnesium Dataset,am50_2p5_1829,109.0,98.25
Magnesium Dataset,am40_2p5_1742,107.0,116.25
Magnesium Dataset,am60_5p0_edge_1628,120.0,121.4375
Magnesium Dataset,am40_2p5_1752,107.0,107.1875
Magnesium Dataset,am70_5p0_f_e_1586,127.0,122.275
Magnesium Dataset,am40_2p5_1767,107.0,110.95
Magnesium Dataset,am40_5p0_1712,107.0,115.6875
Magnesium Dataset,am50_2p5_1804,109.0,111.3125
Magnesium Dataset,am40_5p0_1713,107.0,104.25
Magnesium Dataset,am70_5p0_f_e_1565,127.0,120.95
Magnesium Dataset,am40_2p5_1749,107.0,117.0
Magnesium Dataset,am50_5p0_1789,109.0,110.8
Magnesium Dataset,am40_2p5_1731,107.0,113.6
Magnesium Dataset,am70_5p0_f_e_1583,127.0,125.6875
Magnesium Dataset,am40_5p0_1696,107.0,107.5
Magnesium Dataset,am70_5p0_f_e_1573,127.0,123.5
Magnesium Dataset,am40_5p0_1694,107.0,109.375
Magnesium Dataset,am50_2p5_1824,109.0,106.08333333333333
Magnesium Dataset,am50_2p5_1825,109.0,111.45833333333333
Magnesium Dataset,am50_2p5_1807,109.0,108.05
Magnesium Dataset,am60_2p5_1675,120.0,115.5
Magnesium Dataset,am40_5p0_1699,107.0,96.4375
Magnesium Dataset,am50_5p0_1786,109.0,118.625
Magnesium Dataset,am40_5p0_1695,107.0,103.0
Magnesium Dataset,am60_2p5_1690,120.0,109.0
Magnesium Dataset,am50_5p0_1783,109.0,101.75
Magnesium Dataset,am50_2p5_1812,109.0,119.75
Magnesium Dataset,am40_2p5_1741,107.0,123.8409090909091
Magnesium Dataset,am70_2p5_f_1600,127.0,115.65
Magnesium Dataset,am60_2p5_1659,120.0,122.14285714285714
Magnesium Dataset,am50_2p5_1821,109.0,117.91666666666667
Magnesium Dataset,am40_2p5_1754,107.0,113.0
Magnesium Dataset,am60_2p5_1664,120.0,120.5
Magnesium Dataset,am50_2p5_1822,109.0,122.33333333333333
Magnesium Dataset,am60_2p5_1666,120.0,118.08333333333333
Magnesium Dataset,am70_5p0_f_e_1588,127.0,129.5
Magnesium Dataset,am60_5p0_1643,120.0,115.84375
Magnesium Dataset,am70_2p5_f_1605,127.0,128.89285714285714
Magnesium Dataset,am50_2p5_1810,109.0,103.25
Magnesium Dataset,am70_5p0_f_e_1582,127.0,129.375
Magnesium Dataset,am60_5p0_1638,120.0,113.25
Magnesium Dataset,am70_2p5_f_1597,127.0,123.08333333333333
Magnesium Dataset,am70_5p0_f_e_1580,127.0,139.5
Magnesium Dataset,am50_5p0_1777,109.0,114.09375
Magnesium Dataset,am40_5p0_1720,107.0,114.0
Magnesium Dataset,am40_2p5_1755,107.0,108.35
Magnesium Dataset,am70_2p5_f_1618,127.0,126.375
Magnesium Dataset,am60_5p0_1657,120.0,125.5
Magnesium Dataset,am40_2p5_1728,107.0,117.64285714285714
Magnesium Dataset,am60_2p5_1660,120.0,129.45833333333334
Magnesium Dataset,am60_5p0_1640,120.0,111.5
Magnesium Dataset,am50_2p5_1806,109.0,105.5
Magnesium Dataset,am50_5p0_1778,109.0,102.41666666666667
Magnesium Dataset,am60_5p0_edge_1633,120.0,109.75
Magnesium Dataset,am50_2p5_1826,109.0,115.0
Magnesium Dataset,am50_2p5_1802,109.0,94.5
Magnesium Dataset,am60_5p0_1636,120.0,104.875
Magnesium Dataset,am70_2p5_f_1594,127.0,127.75
Magnesium Dataset,am50_5p0_1772,109.0,108.83333333333333
Magnesium Dataset,am50_5p0_1779,109.0,105.91666666666667
Magnesium Dataset,am50_2p5_1830,109.0,112.5625
Magnesium Dataset,am60_5p0_1647,120.0,114.0
Magnesium Dataset,am70_5p0_f_1557,127.0,126.125
Magnesium Dataset,am70_2p5_f_1599,127.0,133.0
Magnesium Dataset,am40_2p5_1727,107.0,116.4
Magnesium Dataset,am60_5p0_1656,120.0,114.25
Magnesium Dataset,am70_2p5_f_1609,127.0,134.625
Magnesium Dataset,am40_2p5_1725,107.0,107.375
Magnesium Dataset,am60_2p5_1673,120.0,127.66666666666667
Magnesium Dataset,am40_2p5_1744,107.0,104.0
Magnesium Dataset,am40_2p5_1761,107.0,107.91666666666667
Magnesium Dataset,am40_2p5_1762,107.0,108.58333333333333
Magnesium Dataset,am50_5p0_1787,109.0,106.54166666666667
Magnesium Dataset,am70_2p5_f_1614,127.0,121.875
Magnesium Dataset,am60_2p5_1668,120.0,126.0
Magnesium Dataset,am50_2p5_1813,109.0,113.55
Magnesium Dataset,am70_2p5_f_1606,127.0,132.75
Magnesium Dataset,am60_5p0_1655,120.0,116.375
Magnesium Dataset,am50_2p5_1823,109.0,119.08333333333333
Magnesium Dataset,am50_2p5_1805,109.0,113.91666666666667
Magnesium Dataset,am40_2p5_1764,107.0,108.0
Magnesium Dataset,am70_2p5_f_1593,127.0,126.0
Magnesium Dataset,am70_2p5_f_1608,127.0,131.125
Magnesium Dataset,am60_2p5_1683,120.0,111.75
Magnesium Dataset,am70_2p5_f_1591,127.0,127.58333333333333
Magnesium Dataset,am50_2p5_1808,109.0,103.83333333333333
Magnesium Dataset,am70_2p5_f_1601,127.0,130.625
Magnesium Dataset,am70_5p0_f_1555,127.0,137.625
Magnesium Dataset,am70_2p5_f_1611,127.0,124.1
Magnesium Dataset,am70_2p5_f_1592,127.0,122.4
Magnesium Dataset,am70_5p0_f_e_1578,127.0,118.8
Magnesium Dataset,am40_2p5_1766,107.0,112.5625
Magnesium Dataset,am50_5p0_1770,109.0,107.16666666666667
Magnesium Dataset,am40_2p5_1737,107.0,109.64285714285714
Magnesium Dataset,am60_2p5_1665,120.0,115.6
Magnesium Dataset,am40_2p5_1723,107.0,105.35
Magnesium Dataset,am60_5p0_edge_1625,120.0,109.75
Magnesium Dataset,am50_5p0_1794,109.0,106.25
Magnesium Dataset,am60_5p0_edge_1635,120.0,120.5
Magnesium Dataset,am70_2p5_f_1617,127.0,128.0
Magnesium Dataset,am60_2p5_1687,120.0,117.0
Magnesium Dataset,am60_2p5_1658,120.0,121.7
Magnesium Dataset,am50_5p0_1798,109.0,106.8125
Magnesium Dataset,am40_2p5_1726,107.0,110.3
Magnesium Dataset,am50_5p0_1788,109.0,105.375
Magnesium Dataset,am50_5p0_1781,109.0,113.125
Magnesium Dataset,am50_5p0_1782,109.0,110.45
Magnesium Dataset,am40_5p0_1691,107.0,110.45
Magnesium Dataset,am70_5p0_f_e_1570,127.0,128.125
Magnesium Dataset,am60_5p0_1644,120.0,137.75
Magnesium Dataset,am70_2p5_f_1596,127.0,118.1
Magnesium Dataset,am70_2p5_f_1607,127.0,115.1875
Magnesium Dataset,am60_2p5_1661,120.0,120.70833333333333
Magnesium Dataset,am40_2p5_1763,107.0,110.5
Magnesium Dataset,am60_2p5_1688,120.0,114.875
Magnesium Dataset,am70_5p0_f_e_1561,127.0,129.375
Magnesium Dataset,am60_5p0_1639,120.0,120.05
