Source,Image Name,Expected,Average Prediction
Magnesium Dataset,am50_5p0_1791,109.0,113.55
Magnesium Dataset,am60_2p5_1676,120.0,109.6875
Magnesium Dataset,am60_5p0_edge_1629,120.0,117.125
Magnesium Dataset,am40_2p5_1758,107.0,106.25
Magnesium Dataset,am40_2p5_1736,107.0,112.625
Magnesium Dataset,am70_5p0_f_e_1579,127.0,121.5
Magnesium Dataset,am60_5p0_1645,120.0,121.625
Magnesium Dataset,am60_5p0_edge_1634,120.0,120.9
Magnesium Dataset,am60_5p0_1653,120.0,115.33333333333333
Magnesium Dataset,am40_2p5_1753,107.0,118.375
Magnesium Dataset,am40_2p5_1768,107.0,111.16666666666667
Magnesium Dataset,am60_2p5_1674,120.0,117.6875
Magnesium Dataset,am60_5p0_1651,120.0,116.58333333333333
Magnesium Dataset,am60_5p0_edge_1624,120.0,120.41666666666667
Magnesium Dataset,am50_5p0_1776,109.0,103.08333333333333
Magnesium Dataset,am70_5p0_f_e_1564,127.0,125.91666666666667
Magnesium Dataset,am50_5p0_1800,109.0,107.95833333333333
Magnesium Dataset,am50_2p5_1820,109.0,109.0
Magnesium Dataset,am70_5p0_f_e_1589,127.0,129.1
Magnesium Dataset,am50_5p0_1784,109.0,108.3125
Magnesium Dataset,am60_5p0_edge_1623,120.0,110.0
Magnesium Dataset,am50_5p0_1771,109.0,103.33333333333333
Magnesium Dataset,am50_2p5_1827,109.0,116.25
Magnesium Dataset,am50_2p5_1809,109.0,110.55
Magnesium Dataset,am50_5p0_1775,109.0,111.95833333333333
Magnesium Dataset,am70_5p0_f_e_1566,127.0,123.41666666666667
Magnesium Dataset,am70_2p5_f_1595,127.0,120.33333333333333
Magnesium Dataset,am60_2p5_1663,120.0,124.625
Magnesium Dataset,am40_2p5_1734,107.0,109.33333333333333
Magnesium Dataset,am40_5p0_1716,107.0,102.875
Magnesium Dataset,am70_2p5_f_1604,127.0,127.625
Magnesium Dataset,am60_2p5_1685,120.0,111.25
Magnesium Dataset,am40_2p5_1751,107.0,117.75
Magnesium Dataset,am70_5p0_f_e_1569,127.0,124.3125
Magnesium Dataset,am60_2p5_1686,120.0,112.5
Magnesium Dataset,am50_2p5_1817,109.0,112.6
Magnesium Dataset,am60_5p0_1642,120.0,117.125
Magnesium Dataset,am50_2p5_1818,109.0,108.59375
Magnesium Dataset,am40_2p5_1750,107.0,109.58333333333333
Magnesium Dataset,am50_2p5_1819,109.0,116.0
Magnesium Dataset,am40_2p5_1733,107.0,110.58333333333333
Magnesium Dataset,am40_2p5_1738,107.0,114.875
Magnesium Dataset,am70_5p0_f_1554,127.0,132.9375
Magnesium Dataset,am40_5p0_1693,107.0,109.9375
Magnesium Dataset,am60_5p0_edge_1630,120.0,119.41666666666667
Magnesium Dataset,am40_5p0_1697,107.0,113.95
Magnesium Dataset,am50_5p0_1792,109.0,111.5
Magnesium Dataset,am40_2p5_1757,107.0,110.375
Magnesium Dataset,am60_5p0_1649,120.0,109.4375
Magnesium Dataset,am60_2p5_1684,120.0,123.25
Magnesium Dataset,am50_5p0_1790,109.0,106.91666666666667
Magnesium Dataset,am40_2p5_1740,107.0,118.0
Magnesium Dataset,am70_5p0_f_e_1575,127.0,128.66666666666666
