Source,Image Name,Expected,Average Prediction,MAPE,,Worst,,,,Best,,,
Magnesium Dataset,am40_5p0_1716,107,108.5,1.38248847926267,,,,,,,,,
Magnesium Dataset,am60_2p5_1677,120,118.35,1.39416983523448,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1588,127,125.25,1.39720558882236,,,,,,,,,
Magnesium Dataset,am40_5p0_1698,107,105.5,1.4218009478673,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1612,127,125.1875,1.44782825761358,,,,,,,,,
Magnesium Dataset,am50_2p5_1813,109,110.625,1.46892655367232,,,,,,,,,
Magnesium Dataset,am60_5p0_1643,120,118.25,1.47991543340381,,,,,,,,,
Magnesium Dataset,am60_2p5_1670,120,121.8125,1.48794253463315,,,,,,,,,
Magnesium Dataset,am40_2p5_1734,107,108.625,1.49597238204833,,,,,,,,,
Magnesium Dataset,am40_5p0_1714,107,105.416666666667,1.50197628458498,,,,,,,,,
Magnesium Dataset,am60_2p5_1678,120,118.2,1.52284263959391,,,,,,,,,
Magnesium Dataset,am60_2p5_1664,120,118.125,1.58730158730159,,,,,,,,,
Magnesium Dataset,am40_2p5_1725,107,108.75,1.60919540229885,,,,,,,,,
Magnesium Dataset,am50_5p0_1790,109,110.8,1.62454873646209,,,,,,,,,
Magnesium Dataset,am60_5p0_edge_1629,120,122.0625,1.68970814132104,,,,,,,,,
Magnesium Dataset,am50_5p0_1773,109,110.875,1.69109357384442,,,,,,,,,
Magnesium Dataset,am70_5p0_f_1556,127,124.875,1.7017017017017,,,,,,,,,
Magnesium Dataset,am60_2p5_1668,120,122.083333333333,1.70648464163822,,,,,,,,,
Magnesium Dataset,am50_2p5_1814,109,110.9,1.71325518485122,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1605,127,129.291666666667,1.77247824685787,,,,,,,,,
Magnesium Dataset,am60_5p0_edge_1624,120,117.892857142857,1.78733717055438,,,,,,,,,
Magnesium Dataset,am50_5p0_1795,109,111,1.8018018018018,,,,,,,,,
Magnesium Dataset,am60_2p5_1671,120,117.875,1.80275715800636,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1604,127,124.75,1.80360721442886,,,,,,,,,
Magnesium Dataset,am50_2p5_1828,109,106.9375,1.92869666861485,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1567,127,129.5,1.93050193050193,,,,,,,,,
Magnesium Dataset,am60_5p0_1657,120,122.464285714286,2.01224846894138,,,,,,,,,
Magnesium Dataset,am50_5p0_1774,109,111.25,2.02247191011236,,,,,,,,,
Magnesium Dataset,am60_5p0_1646,120,122.5,2.04081632653061,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1572,127,129.666666666667,2.05655526992287,,,,,,,,,
